Order,Title,Author,Year,Genres,Number of pages,Reading time,Reread?,Month finished,Favourite?
1,Stardust,Neil Gaiman,1997,"fairy tale, fantasy, fiction",288,4:32,No,January,Yes
2,Eleanor Oliphant is Completely Fine,Gail Honeyman,2017,fiction,383,4:26,No,January,No
3,Girl Gone Viral,Alisha Rai,2020,"fiction, romance",400,4:19,No,January,No
4,Dracula,Bram Stoker,1897,"classic, epistolary, fiction, horror",418,8:39,No,January,No
5,"Always and Forever, Lara Jean",Jenny Han,2017,"fiction, romance, young adult",336,3:09,No,January,No
6,Cloud Atlas,David Mitchell,2004,"fantasy, fiction, historical fiction",544,11:23,No,January,Yes
7,Good Omens,Terry Pratchett; Neil Gaiman,1990,"fantasy, fiction",288,7:18,No,January,No
8,Moo,Jane Smiley,1995,fiction,414,,No,January,No
9,We Have Always Been Here,Samra Habib,2019,"biography, nonfiction",240,2:30,No,January,No
10,Recipe for a Perfect Wife,Karma Brown,2019,"fiction, historical fiction, thriller",336,3:52,No,January,No
11,Can You Keep a Secret?,Sophie Kinsella,2003,"fiction, romance",368,3:33,No,January,No
12,Six Angry Girls,Adrienne Kisner,2020,"fiction, young adult",272,2:59,No,February,No
13,"Vi ",Kim Thúy,2016,"biography, fiction, french",144,2:29,No,February,No
14,Me Before You,Jojo Moyes,2012,"fiction, romance",480,5:58,No,February,No
15,The Twelve Dates of Christmas,Jenny Bayliss,2020,"fiction, romance",364,4:29,No,February,No
16,Older Sister. Not Necessarily Related.,Jenny Heijun Wills,2019,"biography, nonfiction",256,2:46,No,February,No
17,"Big Girl, Small Town",Michelle Gallen,2020,fiction,320,5:21,No,February,No
18,Girl Crushed,Katie Heaney,2020,"fiction, romance, young adult",343,4:36,No,February,No
19,The Hundred Thousand Kingdoms,N. K. Jemisin,2010,"fantasy, fiction",398,7:23,No,February,Yes
20,Real Life,Brandon Taylor,2020,fiction,336,3:27,No,February,No
21,Mr. Penumbra's 24-Hour Bookstore,Robin Sloan,2012,"fiction, mystery",288,5:03,No,February,Yes
22,Slaughterhouse-Five,Kurt Vonnegut,1969,"classic, fiction, science fiction",224,2:40,No,February,Yes
23,The Princess Bride,William Goldman,1973,"classic, fairy tale, fantasy, fiction, romance",493,5:49,No,February,No
24,A Brightness Long Ago,Guy Gavriel Kay,2019,"fantasy, fiction, historical fiction",431,9:22,No,March,No
25,Fahrenheit 451,Ray Bradbury,1953,"classic, fiction, science fiction",256,2:33,No,March,No
